date,total_value,action,price
12/12/1980,10000,2,0.128348
12/15/1980,10000,2,0.121652
12/16/1980,10000,2,0.112723
12/17/1980,10000,2,0.115513
12/18/1980,10000,2,0.118862
12/19/1980,10000,2,0.126116
12/22/1980,10000,2,0.132254
12/23/1980,10000,2,0.137835
12/24/1980,10000,2,0.145089
12/26/1980,10000,2,0.158482
12/29/1980,10000,2,0.160714
12/30/1980,10000,2,0.156808
12/31/1980,10000,2,0.152344
1/2/1981,10000,2,0.154018
1/5/1981,10000,2,0.15067
1/6/1981,10000,2,0.143973
1/7/1981,10000,2,0.137835
1/8/1981,10000,2,0.135045
1/9/1981,10000,2,0.142299
1/12/1981,10000,2,0.141183
1/13/1981,10000,2,0.136161
1/14/1981,10000,2,0.136719
1/15/1981,10000,2,0.139509
1/16/1981,10000,2,0.138393
1/19/1981,10000,2,0.146763
1/20/1981,10000,2,0.142299
1/21/1981,10000,2,0.145089
1/22/1981,10000,2,0.146763
1/23/1981,10000,0,0.146205
1/26/1981,9847.34,2,0.143973
1/27/1981,9771.01,2,0.142857
1/28/1981,9465.68,2,0.138393
1/29/1981,9122.19,1,0.133371
1/30/1981,9122.19,2,0.126116
2/2/1981,9122.19,2,0.118862
2/3/1981,9122.19,2,0.123326
2/4/1981,9122.19,2,0.12779
2/5/1981,9122.19,2,0.12779
2/6/1981,9122.19,2,0.128348
2/9/1981,9122.19,2,0.121652
2/10/1981,9122.19,2,0.121652
2/11/1981,9122.19,2,0.117746
2/12/1981,9122.19,2,0.116629
2/13/1981,9122.19,2,0.113839
2/17/1981,9122.19,2,0.116629
2/18/1981,9122.19,2,0.121652
2/19/1981,9122.19,2,0.114397
2/20/1981,9122.19,2,0.108259
2/23/1981,9122.19,2,0.109933
2/24/1981,9122.19,2,0.106027
2/25/1981,9122.19,2,0.112723
2/26/1981,9122.19,2,0.114397
2/27/1981,9122.19,2,0.118304
3/2/1981,9122.19,2,0.118862
3/3/1981,9122.19,2,0.117188
3/4/1981,9122.19,0,0.116071
3/5/1981,9078.34,2,0.115513
3/6/1981,8990.63,2,0.114397
3/9/1981,8288.96,1,0.105469
3/10/1981,8288.96,2,0.100446
3/11/1981,8288.96,2,0.09654
3/12/1981,8288.96,2,0.100446
3/13/1981,8288.96,2,0.09933
3/16/1981,8288.96,2,0.103237
3/17/1981,8288.96,2,0.108259
3/18/1981,8288.96,2,0.114955
3/19/1981,8288.96,2,0.113839
3/20/1981,8288.96,0,0.114955
3/23/1981,8610.92,2,0.11942
3/24/1981,8570.68,2,0.118862
3/25/1981,8409.67,2,0.116629
3/26/1981,8248.73,2,0.114397
3/27/1981,7967.08,2,0.110491
3/30/1981,7967.08,2,0.110491
3/31/1981,7886.61,2,0.109375
4/1/1981,7806.14,2,0.108259
4/2/1981,8490.21,2,0.117746
4/3/1981,8530.45,2,0.118304
4/6/1981,8369.44,2,0.116071
4/7/1981,8288.96,2,0.114955
4/8/1981,8691.39,2,0.120536
4/9/1981,8852.33,2,0.122768
4/10/1981,8973.04,2,0.124442
4/13/1981,8973.04,2,0.124442
4/14/1981,8973.04,2,0.124442
4/15/1981,8530.45,2,0.118304
4/16/1981,8047.55,2,0.111607
4/20/1981,8288.96,2,0.114955
4/21/1981,8852.33,2,0.122768
4/22/1981,9174.21,2,0.127232
4/23/1981,9415.62,2,0.13058
4/24/1981,9335.15,2,0.129464
4/27/1981,9254.68,2,0.128348
4/28/1981,9093.74,2,0.126116
4/29/1981,8973.04,2,0.124442
4/30/1981,9133.98,2,0.126674
5/1/1981,9133.98,2,0.126674
5/4/1981,9093.74,2,0.126116
5/5/1981,9053.51,2,0.125558
5/6/1981,8812.09,2,0.12221
5/7/1981,8932.8,2,0.123884
